simTime,connectivity,neurons,memory,CPU,timeout,hasExecuted,setupTime,execTime,startTime,endTime,measureTime,hasEndedInTimeout,hasEndedInError
0.003,0.1542953897277973,3173,4096,4,14400,True,0.06,625.24,1582721109.3909535,1582721735.7843728,626.3934192657471,False,False
0.003,0.6993484319038994,8251,4096,4,14400,True,0.5,1629.7,1582721735.810962,1582723366.8867707,1631.075808763504,False,False
0.003,0.5351733882550728,8521,4096,4,14400,True,0.65,1667.6,1582723366.9136477,1582725036.1730764,1669.2594287395477,False,False
