simTime,connectivity,neurons,memory,CPU,timeout,hasExecuted,setupTime,execTime,startTime,endTime,measureTime,hasEndedInTimeout,hasEndedInError
0.003,0.9741089592294632,1098,16384,16,14400,True,0.01,12.0,1582739806.6021054,1582739819.5551958,12.95309042930603,False,False
0.003,0.1796436567303004,7378,16384,16,14400,True,0.33,43.6,1582739819.5829546,1582739864.381124,44.79816937446594,False,False
0.003,0.957691992436629,3334,16384,16,14400,True,0.07,56.23,1582739864.409748,1582739921.4744241,57.06467604637146,False,False
0.003,0.05042668951606667,4036,16384,16,14400,True,0.07,14.14,1582739921.5027544,1582739936.4711328,14.96837830543518,False,False
0.003,0.8061311886884691,7703,16384,16,14400,True,0.37,171.16,1582739936.498915,1582740108.882038,172.38312315940857,False,False
0.003,0.11530062216651976,5344,16384,16,14400,True,0.15,30.26,1582740108.9100847,1582740140.1767063,31.266621589660645,False,False
0.003,0.7405540788742185,339,16384,16,14400,True,0.0,4.89,1582740140.205155,1582740145.9615095,5.756354570388794,False,False
0.003,0.3530309623069769,9836,16384,16,14400,True,0.86,112.57,1582740145.9892626,1582740260.4033797,114.41411709785461,False,False
0.003,0.10469738746780041,980,16384,16,14400,True,0.01,5.56,1582740260.4313776,1582740266.7522476,6.3208699226379395,False,False
0.003,0.6022340489605964,2348,16384,16,14400,True,0.05,32.2,1582740266.7809772,1582740299.774984,32.994006633758545,False,False
0.003,0.4714442108550399,3559,16384,16,14400,True,0.14,34.07,1582740299.8027427,1582740334.7886305,34.9858877658844,False,False
0.003,0.16783363177185462,1102,16384,16,14400,True,0.01,7.58,1582740334.8210402,1582740343.16811,8.34706974029541,False,False
0.003,0.7507815135554945,2963,16384,16,14400,True,0.06,46.98,1582740343.196456,1582740391.0755699,47.8791139125824,False,False
0.003,0.4984263344416844,7091,16384,16,14400,True,0.53,126.99,1582740391.1032991,1582740519.5957232,128.49242401123047,False,False
0.003,0.08285698107407106,7631,16384,16,14400,True,0.26,44.43,1582740519.624168,1582740565.2751398,45.65097188949585,False,False
0.003,0.034818327321824105,7675,16384,16,14400,True,0.22,25.28,1582740565.3037438,1582740591.763878,26.460134267807007,False,False
0.003,0.4483514359489406,3220,16384,16,14400,True,0.12,36.83,1582740591.792843,1582740629.6811695,37.88832640647888,False,False
0.003,0.7291595483575836,986,16384,16,14400,True,0.01,10.1,1582740629.7119236,1582740640.7547395,11.042815923690796,False,False
0.003,0.6741655420885619,3134,16384,16,14400,True,0.08,50.17,1582740640.7845547,1582740691.872937,51.08838224411011,False,False
0.003,0.45542839247330563,3883,16384,16,14400,True,0.17,39.46,1582740691.9016068,1582740732.283409,40.38180232048035,False,False
0.003,0.5585323250475948,4851,16384,16,14400,True,0.21,109.66,1582740732.313761,1582740842.9728928,110.6591317653656,False,False
0.003,0.15734159340308962,2429,16384,16,14400,True,0.04,13.54,1582740843.0015497,1582740857.3579497,14.35640001296997,False,False
0.003,0.1560889063744184,5295,16384,16,14400,True,0.17,38.56,1582740857.3849623,1582740896.9687357,39.583773374557495,False,False
0.003,0.18654159108453736,9882,16384,16,14400,True,0.58,85.34,1582740896.9946096,1582740983.8927236,86.89811396598816,False,False
0.003,0.6548481234549408,4529,16384,16,14400,True,0.17,85.33,1582740983.9201703,1582741070.269113,86.34894275665283,False,False
0.003,0.6879212057209737,3610,16384,16,14400,True,0.1,48.92,1582741070.295482,1582741120.1696846,49.874202728271484,False,False
0.003,0.9774585319970357,2684,16384,16,14400,True,0.05,38.86,1582741120.1978114,1582741159.8635764,39.665765047073364,False,False
0.003,0.42410611508153473,8635,16384,16,14400,True,0.74,110.88,1582741159.8896484,1582741272.4004169,112.5107684135437,False,False
0.003,0.05314484067544773,8630,16384,16,14400,True,0.29,29.0,1582741272.4283953,1582741302.4821928,30.053797483444214,False,False
0.003,0.6136743272628652,9741,16384,16,14400,True,0.79,253.43,1582741302.5088098,1582741557.579277,255.07046723365784,False,False
0.003,0.20802799656294052,1055,16384,16,14400,True,0.01,5.59,1582741557.6052594,1582741563.9655044,6.360244989395142,False,False
0.003,0.11754415790770045,9882,16384,16,14400,True,0.47,59.65,1582741563.9927335,1582741624.979071,60.986337423324585,False,False
0.003,0.05569351887583331,1035,16384,16,14400,True,0.01,4.2,1582741625.004908,1582741629.962989,4.958081007003784,False,False
0.003,0.122984823415519,9071,16384,16,14400,True,0.41,74.3,1582741629.9901235,1582741705.5861998,75.5960762500763,False,False
0.003,0.08735829243886936,5951,16384,16,14400,True,0.16,31.43,1582741705.6123788,1582741738.1702313,32.55785250663757,False,False
0.003,0.6151757380576468,1737,16384,16,14400,True,0.03,20.25,1582741738.1965015,1582741759.3755927,21.179091215133667,False,False
0.003,0.7459370552563777,399,16384,16,14400,True,0.0,4.7,1582741759.4020545,1582741764.8678904,5.465835809707642,False,False
0.003,0.2572229612188091,9832,16384,16,14400,True,0.71,109.82,1582741764.8983915,1582741876.2053547,111.30696320533752,False,False
0.003,0.7175830565213296,7216,16384,16,14400,True,0.37,151.29,1582741876.2323344,1582742028.6720126,152.43967819213867,False,False
0.003,0.3026571114526137,7597,16384,16,14400,True,0.47,61.83,1582742028.6990907,1582742091.8762202,63.17712950706482,False,False
0.003,0.0532599189342172,2733,16384,16,14400,True,0.04,9.87,1582742091.9023783,1582742102.6667202,10.764341831207275,False,False
0.003,0.9081041996059213,9208,16384,16,14400,True,0.47,271.52,1582742102.6929302,1582742375.4717424,272.7788121700287,False,False
0.003,0.2440246345461231,7151,16384,16,14400,True,0.37,44.66,1582742375.4981184,1582742421.5801756,46.08205723762512,False,False
0.003,0.40570874427364845,7038,16384,16,14400,True,0.5,85.09,1582742421.6163476,1582742508.0979817,86.48163414001465,False,False
0.003,0.26805925540057846,7377,16384,16,14400,True,0.41,58.97,1582742508.1238427,1582742568.4773123,60.35346961021423,False,False
0.003,0.4979061967406987,5550,16384,16,14400,True,0.34,95.15,1582742568.5041475,1582742665.0796103,96.57546281814575,False,False
0.003,0.740720961675252,3641,16384,16,14400,True,0.09,48.09,1582742665.1061466,1582742714.0818222,48.97567558288574,False,False
0.003,0.63012056183015,8826,16384,16,14400,True,0.64,223.93,1582742714.10844,1582742939.46382,225.35538005828857,False,False
0.003,0.5496741652156301,4569,16384,16,14400,True,0.19,77.33,1582742939.49038,1582743017.9820116,78.49163150787354,False,False
0.003,0.5326254160427604,1982,16384,16,14400,True,0.04,24.83,1582743018.009278,1582743043.7676346,25.75835657119751,False,False
0.003,0.9238386005918255,5510,16384,16,14400,True,0.17,102.56,1582743043.7933047,1582743147.1725252,103.37922048568726,False,False
0.003,0.10186007014459253,7375,16384,16,14400,True,0.26,28.26,1582743147.2009635,1582743176.6706913,29.469727754592896,False,False
0.003,0.6259431954762579,8272,16384,16,14400,True,0.58,178.24,1582743176.697148,1582743356.3760638,179.67891573905945,False,False
0.003,0.8037914260081219,252,16384,16,14400,True,0.0,3.72,1582743356.4017758,1582743360.85022,4.448444128036499,False,False
0.003,0.7855474461838589,3782,16384,16,14400,True,0.1,56.74,1582743360.8775535,1582743418.5697303,57.692176818847656,False,False
0.003,0.4885194706959851,4649,16384,16,14400,True,0.24,68.67,1582743418.5963523,1582743488.3848598,69.78850746154785,False,False
0.003,0.9310009251924958,5059,16384,16,14400,True,0.15,94.47,1582743488.4113142,1582743583.7632372,95.3519229888916,False,False
0.003,0.8847211856626745,4709,16384,16,14400,True,0.14,93.68,1582743583.7913136,1582743678.3777692,94.58645558357239,False,False
0.003,0.5929913856901795,8362,16384,16,14400,True,0.61,169.49,1582743678.4047282,1582743849.2680337,170.86330556869507,False,False
0.003,0.8522189739927459,6662,16384,16,14400,True,0.26,124.34,1582743849.2943358,1582743974.7697902,125.47545433044434,False,False
0.003,0.9399909903894728,1581,16384,16,14400,True,0.02,18.49,1582743974.7959924,1582743994.1624844,19.36649203300476,False,False
0.003,0.9167754360258149,1844,16384,16,14400,True,0.02,21.9,1582743994.1901348,1582744016.9635754,22.77344059944153,False,False
0.003,0.13748719852557056,4434,16384,16,14400,True,0.11,24.92,1582744016.9905148,1582744042.872297,25.881782293319702,False,False
0.003,0.11713678615397519,8847,16384,16,14400,True,0.39,40.42,1582744042.8982928,1582744084.6796432,41.7813503742218,False,False
0.003,0.12104158028528299,8904,16384,16,14400,True,0.4,42.02,1582744084.7067351,1582744127.8857229,43.17898774147034,False,False
0.003,0.09112397927101913,3487,16384,16,14400,True,0.06,14.84,1582744127.9107578,1582744143.7666187,15.855860948562622,False,False
0.003,0.6949555318505894,9669,16384,16,14400,True,0.7,222.64,1582744143.7956743,1582744367.9753175,224.1796431541443,False,False
0.003,0.8811195677224216,6093,16384,16,14400,True,0.21,111.58,1582744368.0012171,1582744480.482853,112.4816358089447,False,False
0.003,0.47592751624677354,107,16384,16,14400,True,0.0,3.27,1582744480.5088782,1582744484.6604698,4.151591539382935,False,False
0.003,0.6684074769221852,5502,16384,16,14400,True,0.24,106.1,1582744484.6864867,1582744591.769287,107.08280038833618,False,False
0.003,0.26010965420707916,1171,16384,16,14400,True,0.01,8.09,1582744591.7962704,1582744600.7638903,8.967619895935059,False,False
0.003,0.7047319370775208,4734,16384,16,14400,True,0.18,107.85,1582744600.790704,1582744709.5796082,108.78890419006348,False,False
0.003,0.8387180879107851,8761,16384,16,14400,True,0.46,219.84,1582744709.6075797,1582744930.682846,221.07526636123657,False,False
0.003,0.8639715343343243,3169,16384,16,14400,True,0.06,47.73,1582744930.7087471,1582744979.2658038,48.55705666542053,False,False
0.003,0.970458083385863,9376,16384,16,14400,True,0.48,211.05,1582744979.2917879,1582745191.6776834,212.38589549064636,False,False
0.003,0.863073553877316,3989,16384,16,14400,True,0.1,70.0,1582745191.7073429,1582745262.5708883,70.86354541778564,False,False
0.003,0.3244156942322096,2994,16384,16,14400,True,0.08,24.62,1582745262.600053,1582745288.272634,25.67258095741272,False,False
0.003,0.33206363787970467,3373,16384,16,14400,True,0.11,30.81,1582745288.3013873,1582745320.1651917,31.86380434036255,False,False
0.003,0.3072691123103101,1847,16384,16,14400,True,0.03,11.99,1582745320.1909642,1582745332.9685519,12.777587652206421,False,False
0.003,0.5242354774245703,9789,16384,16,14400,True,0.86,227.14,1582745332.9936266,1582745562.0751708,229.0815441608429,False,False
0.003,0.8348715486889331,8204,16384,16,14400,True,0.4,205.48,1582745562.1032357,1582745768.6795943,206.57635855674744,False,False
0.003,0.13455524995563561,5465,16384,16,14400,True,0.16,37.36,1582745768.7048285,1582745807.0677977,38.362969160079956,False,False
0.003,0.9143752432537305,6712,16384,16,14400,True,0.25,161.09,1582745807.0933459,1582745969.5655472,162.47220134735107,False,False
0.003,0.6868641285138389,8965,16384,16,14400,True,0.61,211.32,1582745969.593869,1582746182.3736103,212.77974128723145,False,False
0.003,0.37246615642555053,5606,16384,16,14400,True,0.31,57.6,1582746182.398821,1582746241.1836252,58.78480410575867,False,False
0.003,0.12078620614526843,103,16384,16,14400,True,0.0,3.2,1582746241.209082,1582746245.1592505,3.9501686096191406,False,False
0.003,0.16822480381339613,2741,16384,16,14400,True,0.05,15.09,1582746245.1855114,1582746261.177171,15.99165964126587,False,False
0.003,0.7632310643753295,3353,16384,16,14400,True,0.08,39.63,1582746261.2054803,1582746301.6604538,40.454973459243774,False,False
0.003,0.09148792305060253,6707,16384,16,14400,True,0.21,37.33,1582746301.6863444,1582746340.0766106,38.39026618003845,False,False
0.003,0.21994430772351137,8032,16384,16,14400,True,0.43,52.12,1582746340.1046066,1582746393.6865559,53.58194923400879,False,False
0.003,0.7033893515286025,4574,16384,16,14400,True,0.16,75.74,1582746393.7122195,1582746470.3711917,76.65897226333618,False,False
0.003,0.5007953218951814,9590,16384,16,14400,True,0.83,245.45,1582746470.3963065,1582746717.376123,246.97981643676758,False,False
0.003,0.05139317158377625,7905,16384,16,14400,True,0.24,34.96,1582746717.402278,1582746753.4641721,36.0618941783905,False,False
0.003,0.47410573555510277,515,16384,16,14400,True,0.0,6.43,1582746753.4896011,1582746760.7644277,7.274826526641846,False,False
0.003,0.7150221266234235,9010,16384,16,14400,True,0.58,198.54,1582746760.7927065,1582746960.5721993,199.77949285507202,False,False
0.003,0.4538922108239018,9798,16384,16,14400,True,0.97,139.25,1582746960.5990162,1582747101.968122,141.36910581588745,False,False
0.003,0.21220144302275307,9033,16384,16,14400,True,0.52,77.3,1582747101.9951203,1582747180.6970918,78.7019715309143,False,False
0.003,0.07359382097326078,1403,16384,16,14400,True,0.01,6.09,1582747180.7246177,1582747187.6566222,6.932004451751709,False,False
0.003,0.7676341387581515,8920,16384,16,14400,True,0.52,249.32,1582747187.6850462,1582747438.28445,250.59940385818481,False,False
0.003,0.29395469331923685,8675,16384,16,14400,True,0.6,118.17,1582747438.315191,1582747558.0938528,119.77866172790527,False,False
0.003,0.3594966320516272,2188,16384,16,14400,True,0.05,16.94,1582747558.121085,1582747575.8728487,17.751763820648193,False,False
0.003,0.04369880766654098,3265,16384,16,14400,True,0.05,11.76,1582747575.8989727,1582747588.458611,12.559638261795044,False,False
0.003,0.9837801857324165,408,16384,16,14400,True,0.0,6.42,1582747588.4867756,1582747595.76492,7.278144359588623,False,False
0.003,0.8459535667360888,8917,16384,16,14400,True,0.46,197.58,1582747595.7908988,1582747794.5734658,198.78256702423096,False,False
0.003,0.16664122231602993,5216,16384,16,14400,True,0.16,24.35,1582747794.598932,1582747819.9792292,25.38029718399048,False,False
0.003,0.8473497073568993,7733,16384,16,14400,True,0.35,145.64,1582747820.0055547,1582747966.7751348,146.76958012580872,False,False
0.003,0.05952814528920834,9322,16384,16,14400,True,0.34,27.85,1582747966.8009932,1582747995.979251,29.178257703781128,False,False
0.003,0.888897435335445,4265,16384,16,14400,True,0.11,56.78,1582747996.004642,1582748053.5669055,57.56226348876953,False,False
0.003,0.2464739035308174,2058,16384,16,14400,True,0.04,12.88,1582748053.5926275,1582748067.4595637,13.866936206817627,False,False
0.003,0.8327491154218136,415,16384,16,14400,True,0.0,5.03,1582748067.4883296,1582748073.364859,5.8765294551849365,False,False
0.003,0.3464792416545272,2030,16384,16,14400,True,0.04,15.29,1582748073.3931093,1582748089.5678687,16.17475938796997,False,False
0.003,0.958838243903239,9938,16384,16,14400,True,0.53,236.18,1582748089.5989804,1582748327.067828,237.46884751319885,False,False
0.003,0.14695593640456303,8414,16384,16,14400,True,0.39,64.63,1582748327.0945632,1582748392.977528,65.88296484947205,False,False
0.003,0.26296828428588065,6012,16384,16,14400,True,0.27,61.89,1582748393.0044284,1582748456.0953617,63.090933322906494,False,False
0.003,0.9195877558692591,9743,16384,16,14400,True,0.52,215.36,1582748456.125242,1582748672.766875,216.64163303375244,False,False
0.003,0.17435502525567625,3119,16384,16,14400,True,0.07,13.64,1582748672.7958016,1582748687.3731425,14.577340841293335,False,False
0.003,0.2269319120548211,3617,16384,16,14400,True,0.1,25.83,1582748687.4036705,1582748714.2647448,26.861074209213257,False,False
0.003,0.15600012238248145,3972,16384,16,14400,True,0.1,23.33,1582748714.2930565,1582748738.4847677,24.19171118736267,False,False
0.003,0.06618697186431104,6301,16384,16,14400,True,0.17,19.93,1582748738.5113494,1582748759.3710616,20.85971212387085,False,False
0.003,0.07191946317414122,7491,16384,16,14400,True,0.24,39.86,1582748759.3978922,1582748800.276114,40.8782217502594,False,False
0.003,0.4829882696449758,7795,16384,16,14400,True,0.63,93.08,1582748800.3046231,1582748894.99466,94.69003677368164,False,False
0.003,0.3588147921092833,5630,16384,16,14400,True,0.29,73.59,1582748895.023643,1582748969.6909847,74.66734170913696,False,False
0.003,0.2829484741906099,3250,16384,16,14400,True,0.09,26.1,1582748969.7202141,1582748996.8657348,27.14552068710327,False,False
0.003,0.46766653800267344,2015,16384,16,14400,True,0.05,17.19,1582748996.8931403,1582749014.881939,17.98879861831665,False,False
0.003,0.5265468946680179,6812,16384,16,14400,True,0.42,125.47,1582749014.9085436,1582749141.5745838,126.66604018211365,False,False
